congID;details;id;name;year
106;Texas Democrat, District 4;N00005645;Hall, Ralph;2000
106;Ohio Democrat, District 3;N00003716;Hall, Tony P;2000
106;Utah Republican, District 1;N00006312;Hansen, James V;2000
106;Iowa Democrat, Senate;N00004207;Harkin, Tom;2000
106;Illinois Republican, District 14;N00004781;Hastert, Dennis;2000
106;Florida Democrat, District 23;N00002884;Hastings, Alcee L;2000
106;Washington Republican, District 4;N00009157;Hastings, Doc;2000
106;Utah Republican, Senate;N00009869;Hatch, Orrin G;2000
106;North Carolina Republican, District 8;N00002315;Hayes, Robin;2000
106;Arizona Republican, District 6;N00006455;Hayworth, J D;2000
106;Colorado Republican, District 5;N00000048;Hefley, Joel;2000
106;North Carolina Republican, Senate;N00002287;Helms, Jesse;2000
106;California Republican, District 2;N00007584;Herger, Wally;2000
106;Indiana Democrat, District 9;N00003875;Hill, Baron;2000
106;Montana Republican, District 1;N00004644;Hill, Rick;2000
106;Tennessee Republican, District 4;N00003166;Hilleary, Van;2000
106;Alabama Democrat, District 7;N00003008;Hilliard, Earl F;2000
106;New York Democrat, District 26;N00001222;Hinchey, Maurice;2000
106;Texas Democrat, District 15;N00006008;Hinojosa, Ruben;2000
106;Ohio Republican, District 7;N00003725;Hobson, Dave;2000
106;Pennsylvania Democrat, District 13;N00001529;Hoeffel, Joseph M;2000
106;Michigan Republican, District 2;N00004155;Hoekstra, Peter;2000
106;Pennsylvania Democrat, District 6;N00001469;Holden, Tim;2000
106;South Carolina Democrat, Senate;N00002423;Hollings, Fritz;2000
106;New Jersey Democrat, District 12;N00000860;Holt, Rush;2000
106;Oregon Democrat, District 5;N00007700;Hooley, Darlene;2000
106;California Republican, District 38;N00006821;Horn, Steve;2000
106;Indiana Republican, District 8;N00003897;Hostettler, John;2000
106;New York Republican, District 31;N00001329;Houghton, Amo;2000
106;Maryland Democrat, District 5;N00001821;Hoyer, Steny H;2000
106;Missouri Republican, District 9;N00008032;Hulshof, Kenny;2000
106;California Republican, District 52;N00006983;Hunter, Duncan;2000
106;Arkansas Republican, District 3;N00008190;Hutchinson, Asa;2000
106;Arkansas Republican, Senate;N00005499;Hutchinson, Tim;2000
106;Texas Republican, Senate;N00005675;Hutchison, Kay Bailey;2000
106;Illinois Republican, District 6;N00004702;Hyde, Henry J;2000
106;Oklahoma Republican, Senate;N00005582;Inhofe, James M;2000
106;Hawaii Democrat, Senate;N00001762;Inouye, Daniel K;2000
106;Washington Democrat, District 1;N00001725;Inslee, Jay;2000
106;Georgia Republican, District 6;N00002593;Isakson, Johnny;2000
106;Oklahoma Republican, District 5;N00005551;Istook, Ernest J;2000
106;Texas Democrat, District 18;N00005818;Jackson Lee, Sheila;2000
106;Illinois Democrat, District 2;N00012457;Jackson, Jesse Jr;2000
106;Louisiana Democrat, District 2;N00005353;Jefferson, William J;2000
106;Vermont Republican, Senate;N00000534;Jeffords, James M;2000
106;Tennessee Republican, District 1;N00003202;Jenkins, Bill;2000
106;Louisiana Democrat, District 7;N00008038;John, Chris;2000
106;Texas Democrat, District 30;N00008122;Johnson, Eddie Bernice;2000
106;Connecticut Republican, District 6;N00000561;Johnson, Nancy L;2000
106;Texas Republican, District 3;N00008028;Johnson, Sam;2000
106;South Dakota Democrat, Senate;N00010084;Johnson, Tim;2000
106;Ohio Democrat, District 11;N00003561;Jones, Stephanie Tubbs;2000
106;North Carolina Republican, District 3;N00002299;Jones, Walter B Jr;2000
106;Pennsylvania Democrat, District 11;N00001509;Kanjorski, Paul E;2000
106;Ohio Democrat, District 9;N00003522;Kaptur, Marcy;2000
106;New York Republican, District 19;N00001020;Kelly, Sue;2000
106;Massachusetts Democrat, Senate;N00000308;Kennedy, Edward M;2000
106;Rhode Island Democrat, District 1;N00000360;Kennedy, Patrick J;2000
106;Nebraska Democrat, Senate;N00005303;Kerrey, Bob;2000
106;Massachusetts Democrat, Senate;N00000245;Kerry, John;2000
106;Michigan Democrat, District 9;N00004070;Kildee, Dale E;2000
106;Michigan Democrat, District 15;N00004005;Kilpatrick, Carolyn Cheeks;2000
106;Wisconsin Democrat, District 3;N00004403;Kind, Ron;2000
106;New York Republican, District 3;N00001193;King, Pete;2000
106;Georgia Republican, District 1;N00002656;Kingston, Jack;2000
106;Wisconsin Democrat, District 4;N00004330;Kleczka, Jerry;2000
106;Pennsylvania Democrat, District 4;N00001399;Klink, Ron;2000
106;Michigan Republican, District 11;N00004045;Knollenberg, Joe;2000
106;Wisconsin Democrat, Senate;N00004309;Kohl, Herb;2000
106;Arizona Republican, District 5;N00006486;Kolbe, Jim;2000
106;Ohio Democrat, District 10;N00003572;Kucinich, Dennis;2000
106;California Republican, District 36;N00008048;Kuykendall, Steven T;2000
106;Arizona Republican, Senate;N00006406;Kyl, Jon;2000
106;New York Democrat, District 29;N00001305;LaFalce, John J;2000
106;Illinois Republican, District 18;N00004933;LaHood, Ray;2000
106;Texas Democrat, District 9;N00005928;Lampson, Nick;2000
106;Louisiana Democrat, Senate;N00005395;Landrieu, Mary L;2000
106;California Democrat, District 12;N00007382;Lantos, Tom;2000
106;Oklahoma Republican, District 1;N00005597;Largent, Steve;2000
106;Connecticut Democrat, District 1;N00000575;Larson, John B;2000
106;Iowa Republican, District 5;N00004227;Latham, Tom;2000
106;Ohio Republican, District 19;N00003545;LaTourette, Steve;2000
106;New Jersey Democrat, Senate;N00000659;Lautenberg, Frank;2000
106;New York Republican, District 2;N00001176;Lazio, Rick A;2000
106;Iowa Republican, District 1;N00004280;Leach, Jim;2000
106;Vermont Democrat, Senate;N00009918;Leahy, Patrick;2000
106;California Democrat, District 9;N00008046;Lee, Barbara;2000
106;Michigan Democrat, Senate;N00001691;Levin, Carl;2000
106;Michigan Democrat, District 12;N00003950;Levin, Sander;2000
106;California Republican, District 40;N00007087;Lewis, Jerry;2000
106;Georgia Democrat, District 5;N00002577;Lewis, John;2000
106;Kentucky Republican, District 2;N00003476;Lewis, Ron;2000
106;Connecticut Democrat, Senate;N00000616;Lieberman, Joe;2000
106;Arkansas Democrat, Senate;N00008092;Lincoln, Blanche;2000
106;Georgia Republican, District 11;N00002599;Linder, John;2000
106;Illinois Democrat, District 3;N00004856;Lipinski, Bill;2000
106;New Jersey Republican, District 2;N00000851;LoBiondo, Frank;2000
106;California Democrat, District 16;N00007479;Lofgren, Zoe;2000
