id;link;name;year
N00033106;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033106&year=2015;Ann L Wagner (R-Mo);2015
N00035492;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035492&year=2015;Thom Tillis (R-NC);2015
N99999922;https://www.opensecrets.org/personal-finances/net-worth?cid=N99999922&year=2015;John G. Roberts;2015
N00031005;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031005&year=2015;Vicky Hartzler (R-Mo);2015
N00005582;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005582&year=2015;James M Inhofe (R-Okla);2015
N00006236;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006236&year=2015;John A Barrasso (R-Wyo);2015
N00031253;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031253&year=2015;Keith J Rothfus (R-Pa);2015
N00032838;https://www.opensecrets.org/personal-finances/net-worth?cid=N00032838&year=2015;Joe Manchin (D-WVa);2015
N00033492;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033492&year=2015;Elizabeth Warren (D-Mass);2015
N00024866;https://www.opensecrets.org/personal-finances/net-worth?cid=N00024866&year=2015;Madeleine Z Bordallo (D-Guam);2015
N00003062;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003062&year=2015;Jeff Sessions (R-Ala);2015
N00000860;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000860&year=2015;Rush Holt (D-NJ);2015
N00026786;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026786&year=2015;Bobby Jindal (R);2015
N00002424;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002424&year=2015;Mark Sanford (R-SC);2015
N00035972;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035972&year=2015;John Lee Ratcliffe (R-Texas);2015
N00029016;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029016&year=2015;Al Franken (D-Minn);2015
N00007727;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007727&year=2015;Earl Blumenauer (D-Ore);2015
N00030856;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030856&year=2015;John Garamendi (D-Calif);2015
N00035792;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035792&year=2015;French Hill (R-Ark);2015
N00027533;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027533&year=2015;Sheldon Whitehouse (D-RI);2015
